Longitude,ACCESS-CM2,ACCESS-ESM1-5,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-MM,SAM0-UNICON,TaiESM1
-169.0,-62.6025276184082,-59.217960357666016,-61.48637008666992,-61.2476921081543,-64.22166442871094,-69.83930623684665,-73.3177987377087,,-71.71993907306403,-59.944050833333336,-68.24137687683105,-71.18259355699978,-65.28691101074219,-72.16001552795032,-77.14750206324833,-77.87661948676654,-63.5,-58.92011642456055,,-59.98857116699219,-59.98857116699219
-168.5,-62.6025276184082,-59.217960357666016,-61.2476921081543,-61.2476921081543,-64.00422668457031,-69.83943208746433,-73.29512073776203,,-71.78818545319646,-59.914371388888895,-68.19534683227539,-71.02133227511868,-65.28856658935547,-72.17080745341616,-77.14728178419729,-77.81068271746386,-63.5,-58.92011642456055,,-59.98857116699219,-59.91437265608046
-168.0,-62.6025276184082,-59.217960357666016,-61.48637008666992,-61.2476921081543,-64.00422668457031,-69.83955033225392,-73.31437688144175,,-71.80330603565487,-59.914371388888895,-68.10289764404297,-70.86007099323758,-65.077880859375,-72.181599378882,-77.1470563672356,-77.81915251270225,-63.5,-58.92011642456055,,-59.98857116699219,-59.79565503862169
-167.5,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.2476921081543,-64.00422668457031,-70.01017909314251,-73.43409259331683,,-71.8077193983929,-59.89953166666667,-68.05609512329102,-70.86004638671875,-64.86719512939453,-72.19239130434784,-77.14682587905845,-77.85061621149595,-63.5,-58.92011642456055,,-59.98857116699219,-59.72145652770996
-167.0,-62.6025276184082,-59.217960357666016,-61.60388946533203,-61.2476921081543,-64.00422668457031,-70.09553096784106,-73.5296472757014,,-71.96351378376734,-59.66209611111111,-67.9636459350586,-70.86004638671875,-64.86719512939453,-72.20318322981367,-77.14659038785904,-77.88177538369038,-63.5,-58.92011642456055,,-59.98857116699219,-59.78081533643935
-166.5,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.2476921081543,-64.00422668457031,-70.18055778930707,-73.58632473233969,,-71.95924470328592,-59.45434,-67.82237434387207,-71.01308799264727,-64.86719512939453,-72.21397515527951,-77.14634996331623,-77.91203612131376,-63.5,-58.92011642456055,,-59.98857116699219,-59.958891762627495
-166.0,-62.27927970886231,-59.217960357666016,-61.72504806518555,-61.2476921081543,-64.00422668457031,-70.18069890941935,-73.52819395775634,,-71.96030305932078,-59.45434,-67.82237434387207,-70.86008083558231,-64.86719512939453,-72.22476708074535,-77.14610467655464,-77.88330405021519,-63.5,-58.92011642456055,,-59.98857116699219,-59.72145652770996
-165.5,-61.956031799316406,-59.217960357666016,-61.72504806518555,-61.2476921081543,-64.00422668457031,-70.18083997645516,-73.58327558680253,,-71.95873388168049,-59.45434,-67.77528381347656,-70.9857178532978,-64.86719512939453,-72.23555900621119,-77.14585420471353,-77.76951247513355,-63.5,-58.92011642456055,,-59.98857116699219,-59.48402129279243
-165.0,-61.956031799316406,-59.217960357666016,-61.48637008666992,-61.2476921081543,-64.00422668457031,-70.1809658403391,-73.45286217934645,,-72.11632750498002,-59.45434,-67.82132148742676,-70.86004638671875,-64.76017189025879,-72.24635093167703,-77.14559899592165,-77.69097766806053,-63.5,-58.712360594007706,,-59.98857116699219,-59.45434188842773
-164.5,-61.956031799316406,-59.217960357666016,-61.2476921081543,-61.2476921081543,-64.00422668457031,-70.18109166825673,-73.59198243758914,,-71.95941927640874,-59.45434,-67.68034362792969,-70.86004638671875,-64.86719512939453,-72.25,-77.1453391595507,-77.64213867204663,-63.5,-58.47492535909017,,-59.98857116699219,-59.45434188842773
