,ACCESS-CM2,ACCESS-ESM1-5,CAS-ESM2-0,CMCC-CM2-HR4,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-AerChem,EC-Earth3-CC,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,IPSL-CM6A-LR-INCA,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-LM,NorESM2-MM,SAM0-UNICON,TaiESM1
1852-04-15,3.1460638,5.380783,0.0,9.736491,5.0613976,4.8584337,12.025246,2.9197907,3.0205443,1.2777689,1.9936967,8.336243,5.0775657,3.7060106,8.717085,8.135143,0.7006352,1.161412,3.6212287,2.114294,9.574244,13.577084,4.122773,4.711637,12.194374,7.8847303
1852-05-15,6.9432554,9.19355,0.0,13.371799,9.302151,8.467852,15.211771,5.700023,5.715809,3.0310612,3.755736,12.135229,8.474931,8.174992,13.658597,12.378571,1.7371019,2.4702463,7.110789,4.4320107,14.391035,17.504456,6.2681007,7.1328735,15.424549,12.039436
1852-06-15,11.033689,12.401968,0.0,16.21318,12.646171,11.777372,18.31239,8.347614,8.392234,4.927369,6.606018,15.147787,12.318447,13.964464,18.100643,16.254093,2.7311118,3.8319397,9.47055,6.5744157,18.121565,20.700516,8.504784,9.50845,18.26873,14.930839
1852-07-15,14.449137,15.504085,0.24167788,18.237438,15.407366,14.82959,20.964783,10.664235,11.130374,7.529914,10.042816,17.658047,16.488327,18.489798,20.79715,18.846579,3.4994836,6.1027055,12.28178,9.097374,20.93082,22.65453,10.687504,12.138115,19.794476,17.43692
1852-08-15,16.806463,17.416601,1.3384792,19.175797,17.04905,16.798656,22.657198,12.884188,13.108405,9.876085,12.238133,18.882977,19.25857,21.311195,22.971127,20.558002,4.039259,8.010143,15.141326,11.639755,22.470947,23.930603,12.361185,13.86877,21.015347,18.7368
1852-09-15,17.403477,18.51432,2.167167,19.859627,17.3182,17.04089,22.6685,13.896041,14.022235,10.504005,13.220045,19.50418,20.590523,22.007256,23.863445,21.433083,4.155133,9.022032,17.064533,13.42985,23.271084,24.70436,12.90765,14.824532,21.316864,19.615925
1852-10-15,17.914211,18.29857,1.3387003,18.662607,16.70535,16.691433,21.329912,13.412711,13.636166,10.340134,12.8589325,19.335855,20.871939,18.568266,23.384903,21.386684,3.9947655,8.408453,16.008167,12.950027,22.577728,23.667278,12.184967,14.421779,20.962013,19.846188
1852-11-15,16.52045,16.8057,0.47126904,16.946583,15.134762,15.064304,19.114109,11.740032,11.392054,8.934752,11.811579,17.79655,19.468788,12.293797,21.237606,19.417917,2.8381615,6.021716,13.024257,8.569663,20.455229,22.398996,9.429321,10.898677,19.686703,18.595627
1852-12-15,12.889709,13.239002,0.0,15.424257,11.950105,11.06415,16.105095,7.687855,6.7587075,4.130649,7.192718,14.932755,14.240138,4.887485,15.592976,13.297987,0.984004,2.9748383,7.5795875,4.988511,17.035505,19.744682,5.5743456,6.606822,17.052147,16.507938
1853-01-15,5.6190767,5.7377315,0.0,12.0254545,5.3792334,4.2539053,11.176401,2.4258294,1.998432,0.48889393,0.94073766,9.670948,3.9826078,1.792231,5.7613196,5.710896,0.22851624,0.5164483,2.4758086,1.8447422,9.324711,13.090408,2.2271562,3.38726,12.306458,11.170484
1853-02-15,2.2522707,3.4538305,0.0,6.077818,0.8427908,1.5968392,7.5027714,0.92586505,1.1299833,0.12876408,0.53166753,5.9252276,1.3091245,1.2506746,3.8166828,3.3582964,0.035036396,0.12600514,0.800269,0.6998364,4.9663587,8.221731,1.7141503,2.5176573,7.1525083,4.6571403
1853-03-15,2.4096336,3.504971,0.0,5.442557,1.3472346,2.1212454,8.75787,1.3092242,1.7907875,0.36799204,0.8041318,5.873225,2.3260076,1.8420038,4.2247586,4.1839557,0.100802794,0.3709057,0.80593383,1.0232692,6.289647,8.323928,2.3357081,3.2884572,6.9685493,4.500162
1853-04-15,4.229202,5.042007,0.0,9.114069,5.219968,5.023169,11.497344,2.7362466,3.6865325,1.4028829,2.0831962,9.08217,5.4261994,3.6248724,7.0868254,6.9870567,0.6917341,1.3467231,2.520569,2.3312192,10.146484,12.415909,3.9404888,5.025855,10.909403,8.507822
1853-05-15,8.290541,8.640161,0.0,13.27351,9.266346,9.093842,14.716494,5.500486,6.6920233,3.1746368,5.369206,12.624603,9.236995,7.890711,11.444246,12.041003,1.5826367,2.5373032,5.452734,4.5684094,14.946953,16.764183,5.867913,7.6653595,14.946741,11.923963
1853-06-15,12.74085,12.549093,0.0,15.890335,12.429561,12.289345,17.656082,8.644115,9.6994705,5.4376187,8.8567505,15.184461,13.385079,14.193956,16.034988,16.05252,2.4827561,4.496572,9.2611475,6.7618017,18.111574,19.998325,8.21601,9.665764,17.62881,14.966343
1853-07-15,15.97917,15.373943,0.7569287,17.735985,15.587141,14.967473,20.287165,10.954251,11.988602,7.958845,11.906315,17.422382,16.875061,18.316925,19.57529,19.13107,3.011487,6.4453793,12.101707,8.838398,20.856674,22.25581,10.712235,11.913864,19.451218,17.11669
1853-08-15,18.116224,17.276726,1.7458627,18.89497,17.695662,16.572083,21.693659,13.033045,13.995245,9.691775,13.693611,19.315517,19.279236,20.6016,21.285542,21.14045,3.4774315,8.58607,14.819473,11.086617,22.348873,23.642181,12.511033,14.336721,20.774582,18.819157
1853-09-15,19.167223,18.34398,1.8007326,19.207651,18.079975,17.401392,22.324867,14.153763,14.4643345,10.596733,14.296654,19.895245,20.772457,20.877941,22.401798,21.953743,3.9541376,10.385464,16.55929,12.6422,23.103025,24.49911,13.538781,15.05547,21.46057,19.210026
1853-10-15,18.722292,18.300304,1.5402454,18.451063,17.432365,16.886578,21.046865,13.8575325,14.5553665,10.618364,13.253499,19.742569,20.981007,18.092892,22.049606,20.98227,3.637694,10.192697,16.22321,13.061092,22.885984,23.444794,13.083186,13.512133,21.011732,19.225815
1853-11-15,17.330498,16.813099,1.0316262,17.07733,15.957204,15.336771,19.040426,12.239004,12.453387,9.046289,11.157885,18.426788,19.247124,13.577862,19.857117,19.441414,2.5485425,7.4581537,13.785902,9.785061,21.383873,21.664349,9.984212,11.228746,19.760899,17.927086
1853-12-15,13.854796,11.398309,0.0,14.991914,11.790384,12.292437,16.249802,7.657291,7.8704653,4.9612813,6.3765926,16.11419,14.661045,5.4924016,13.977213,13.752912,0.7969785,3.6381826,8.381329,5.4152274,18.451475,20.094841,5.9029984,7.713592,17.399855,15.426136
1854-01-15,6.201887,5.103671,0.0,11.771712,5.5039434,5.389247,12.078445,2.1486104,2.1879053,0.716364,1.3828619,10.305592,4.2555676,1.5621923,6.0320992,6.360622,0.12926051,0.88422143,3.2480602,2.1898456,11.051358,15.445612,2.6013036,3.4157,12.821875,10.30244
1854-02-15,2.2035446,3.572513,0.0,7.767004,1.5374165,1.5453805,7.0395975,1.252533,1.0460052,0.2786654,0.55592364,5.422845,0.9039704,0.90875,3.4920385,3.1774974,0.008858483,0.26085714,1.4358408,0.601585,7.161688,8.649623,1.8290731,2.4730124,8.096352,4.6315994
1854-03-15,2.8227549,3.494746,0.0,6.8872137,2.2108955,1.9609996,8.29872,1.6565864,1.3634608,0.49873406,0.9373077,5.290374,2.2869215,1.0368094,4.358043,3.8784235,0.08500479,0.7841693,1.5755756,0.89610034,7.8613377,7.8541055,2.4115744,3.2304568,7.4384694,4.4006333
1854-04-15,5.7494564,4.438055,0.0,10.29583,5.8209496,5.721976,10.951872,3.1487567,2.6891978,1.8702183,2.7321596,8.711449,5.5323253,3.8747888,6.9369764,6.638361,0.783234,1.8087641,3.2613707,2.2224233,11.654837,12.275877,4.0229187,5.193246,10.990667,7.703572
1854-05-15,9.566212,7.4172187,0.0,13.800584,9.573516,9.60547,13.9401,5.9216557,5.8906794,3.780612,5.430393,12.240402,9.289401,8.783286,11.018121,10.221534,1.7598813,3.8355684,6.6341467,4.5199594,16.189434,17.03498,6.2084637,7.6726856,14.871195,11.939169
1854-06-15,13.464457,11.814614,0.0,16.270857,12.340122,13.176462,17.356693,8.686583,9.234624,5.7579603,9.286472,14.991527,13.322885,14.510775,15.302191,14.920972,2.67827,6.072506,10.70277,7.2540407,19.744259,20.291233,8.3894205,10.096691,17.05361,14.762278
1854-07-15,16.200336,15.020121,0.47118005,17.984358,15.023975,16.09407,20.121973,11.564706,11.464102,8.857028,11.294029,17.15004,16.909338,18.462357,18.31891,17.922865,3.3475416,8.645651,15.113312,10.60895,21.864744,22.275942,9.98546,12.217775,19.291729,16.894032
1854-08-15,18.24016,17.062263,1.178858,19.413786,17.050638,17.606358,21.682364,13.349101,13.5183735,10.601049,13.0072365,18.737656,19.644041,20.502197,20.711666,20.418003,3.883693,10.916136,18.086655,13.581714,23.174606,23.795692,11.84502,14.544888,20.997965,17.97369
1854-09-15,18.637682,17.934242,1.7432022,19.854969,17.367899,17.963562,21.983505,14.253128,14.189809,11.277154,13.765257,19.585316,21.288826,20.335876,21.5806,21.436077,4.0228367,12.364234,19.724455,15.348564,24.01229,24.564285,12.6448555,15.017601,21.00504,18.616003
1854-10-15,18.011992,18.049576,1.6531725,19.24483,17.020123,17.456568,20.774876,14.181323,13.402281,10.658099,13.460632,19.485716,21.255808,17.583206,21.422173,20.85921,3.729382,11.501427,19.829473,15.006657,23.694525,24.124836,11.938278,14.543866,20.71175,18.624699
1854-11-15,17.29482,16.64641,0.92631865,17.897543,15.732553,15.955603,18.621433,12.363848,11.959616,8.687944,11.083744,18.130562,19.806122,13.00582,19.742702,19.235168,2.559928,7.188781,16.778732,11.926963,21.554646,22.823933,10.262663,11.637725,19.534327,17.634813
1854-12-15,13.852894,12.496626,0.0,14.901928,11.248257,12.9148855,15.671002,7.3288355,7.5357647,3.5258207,5.81415,15.926631,14.724035,5.215024,14.435264,12.951905,0.8377608,3.0498447,8.168094,6.130443,16.572374,19.80233,6.9785285,7.859485,16.461445,15.058924
1855-01-15,4.7003593,7.0520744,0.0,10.760769,4.778281,5.17836,11.091394,1.3782376,2.2226357,0.78089184,1.543098,9.681086,4.491241,2.0016963,6.571211,6.4085193,0.11941524,0.5349352,3.8523707,2.3148115,8.781925,13.477913,2.8869839,3.670957,11.927771,9.0956545
1855-02-15,2.0603995,4.261607,0.0,7.189522,1.3007327,1.2215115,7.1563983,0.600448,1.2546965,0.30816534,0.7595669,4.579818,1.0901235,1.0895491,3.3937764,3.0472047,0.019334577,0.22734705,1.2425959,1.0994259,5.17347,8.1627245,2.1342344,2.612653,8.705332,4.4608254
1855-03-15,2.4965158,4.4849935,0.0,7.8106885,1.9053495,1.5529169,8.653735,0.887235,1.7738713,0.5353414,1.2244151,4.5737453,2.6272998,0.94510007,3.7555535,4.1155753,0.08390048,0.46476004,1.4732225,1.4625973,6.2802973,8.643132,2.9311404,3.4619696,8.371589,4.4398623
1855-04-15,5.1259747,6.6911993,0.0,10.078432,5.4529123,5.456029,11.648069,2.2300258,2.856771,1.4014077,2.3446476,7.9650054,6.1348553,3.000339,7.1335793,8.010778,0.621961,1.3449104,4.191116,2.8824232,9.375191,12.371471,4.691082,5.3635488,11.641196,7.182344
1855-05-15,8.885682,10.561222,0.0,13.86477,9.381162,9.714447,14.855569,4.980713,5.318395,3.1478019,4.8872113,11.820891,10.099292,8.028687,12.082979,12.4685,1.3579049,2.6297402,7.9636707,4.835707,13.901739,17.009212,7.2289267,7.2860394,15.035667,10.980255
1855-06-15,12.60848,13.685042,0.0,16.495718,12.563887,13.407715,17.653242,8.563401,8.278327,5.792309,7.485775,14.840925,14.398789,12.9849615,16.45717,15.924225,2.3596802,4.4878955,11.825376,7.557086,17.97759,20.20372,9.353561,9.438136,17.466185,14.030698
1855-07-15,15.306369,16.120598,0.7685642,18.398975,15.243319,16.307985,19.877087,11.387481,11.032139,8.475648,9.624799,17.347376,17.838913,17.524809,19.458912,19.297554,3.078002,6.417142,15.024013,10.757599,20.618887,22.215183,11.15383,11.641771,19.19141,16.164223
1855-08-15,17.400911,17.885092,1.2685846,19.827145,17.014494,17.956772,21.993593,13.513072,12.950645,10.190495,11.446735,18.823471,20.415771,19.914392,21.45884,21.711254,3.745123,9.960689,18.173147,13.641286,21.991648,23.466103,12.841426,13.111227,20.811848,17.974445
1855-09-15,18.525257,18.41212,1.4872899,20.233383,17.425013,18.35713,21.649576,14.460904,13.960844,11.122147,12.943855,20.017054,21.885712,20.34326,22.461143,22.38895,4.0404305,11.16687,19.903952,14.489372,22.712643,24.314327,13.794415,14.172427,21.334322,18.585464
1855-10-15,18.192688,18.209948,1.6946965,19.369102,17.275555,17.90211,20.76686,14.161707,13.759752,10.659054,12.928783,19.800934,21.94336,17.554611,22.251415,22.681858,4.0087967,11.320755,19.580013,14.901428,22.81947,24.14684,13.261136,13.217523,21.265705,18.65134
1855-11-15,16.928082,17.077,0.33343428,18.348778,15.822652,16.187372,18.520134,11.5433445,11.699577,8.460462,10.743627,18.667694,19.979788,13.085958,20.005867,20.885612,3.0561168,8.361257,15.013008,11.709289,21.072357,22.825323,10.939381,10.788244,20.22017,17.936329
1855-12-15,13.808502,13.056316,0.0,15.204006,11.416549,12.61243,15.541143,7.0640936,6.14154,4.9543133,4.8784604,15.63398,14.471631,5.68055,14.293291,14.945372,1.1719235,3.7511635,9.263972,6.368896,16.660643,19.958172,6.387407,8.120471,18.469261,15.464251
1856-01-15,5.846944,5.738841,0.0,10.243614,5.275973,6.103856,10.998451,2.1291785,0.8405586,1.3848352,1.380552,9.161702,5.007651,1.692677,6.4060936,7.0935273,0.12040562,0.93549705,4.247479,2.3804893,8.4690485,14.752203,2.8167305,3.5606017,14.3098545,10.120319
1856-02-15,1.4011459,3.1422873,0.0,7.1077185,0.9291362,2.2473202,6.599359,0.806125,0.2284168,0.53084636,0.49786052,5.3393326,1.6967138,0.8990231,3.5931711,3.2138705,0.016981404,0.4002138,1.0677611,1.0199857,5.141,8.277986,2.1391723,2.7240782,8.784068,5.22902
