Longitude,ACCESS-CM2,ACCESS-ESM1-5,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-MM,SAM0-UNICON,TaiESM1
-162.5,-61.294376373291016,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.00422668457031,-65.28856658935547,,-64.00422668457031,-59.12787222222222,-60.270586013793945,-65.70331573486328,-60.76297378540039,-76.25,-77.92735702164632,-78.14556404403076,-62.0,-58.385887145996094,,-59.662097718980576,-58.593642976548935
-162.0,-61.294376373291016,-58.85694313049317,-61.2476921081543,-60.76297378540039,-60.0209846496582,-64.22166442871094,-65.28856658935547,,-64.22166442871094,-58.934959444444445,-60.208598136901855,-65.70331573486328,-60.76297378540039,-76.25,-77.92707414006455,-78.17337178725877,-62.0,-58.3562077416314,,-59.45434188842773,-58.385887145996094
-161.5,-61.294376373291016,-58.85694313049317,-61.2476921081543,-60.76297378540039,-60.27082061767578,-64.43910217285156,-65.28856658935547,,-64.00422668457031,-59.053675,-60.146610260009766,-65.70331573486328,-60.76297378540039,-76.25,-77.92678709617802,-78.20117953048677,-62.0,-58.11877250671387,,-59.45434188842773,-58.385887145996094
-161.0,-61.294376373291016,-58.67643451690674,-61.005332946777344,-60.516897201538086,-60.14402294158936,-64.22166442871094,-65.28856658935547,,-64.00422668457031,-58.934959444444445,-60.146610260009766,-65.70331573486328,-61.005332946777344,-76.25,-77.92649564025939,-78.22815025211918,-62.0,-57.88133727179633,,-59.45434188842773,-58.385887145996094
-160.5,-61.294376373291016,-58.49592590332031,-60.76297378540039,-60.27082061767578,-60.0209846496582,-64.00422668457031,-65.28856658935547,,-64.00422668457031,-58.92012,-60.02169227600098,-65.70331573486328,-61.005332946777344,-76.25,-77.92620017887842,-78.25472125485739,-62.0,-57.85165786743164,,-59.45434188842773,-58.385887145996094
-160.0,-61.294376373291016,-58.49592590332031,-60.76297378540039,-60.27082061767578,-60.0209846496582,-64.11294555664062,-65.28856658935547,,-64.11294555664062,-58.92012,-59.89677429199219,-65.70331573486328,-61.12651252746582,-76.25,-77.92590082827859,-78.2812922575956,-62.0,-57.85165786743164,,-59.45434188842773,-58.385887145996094
-159.5,-61.294376373291016,-58.49592590332031,-60.76297378540039,-60.27082061767578,-60.27082061767578,-64.00422668457031,-65.28856658935547,,-64.00422668457031,-58.92012,-59.89677429199219,-65.9057322555374,-61.2476921081543,-76.25,-77.92559767713178,-78.3078632603338,-62.0,-57.703260845608185,,-59.38014390733507,-58.385887145996094
-159.0,-60.95584297180176,-58.49592590332031,-60.76297378540039,-60.27082061767578,-60.0209846496582,-64.11294555664062,-65.59799194335938,,-64.00422668457031,-58.92012,-59.89630126953125,-66.10821674891132,-61.2476921081543,-76.0,-77.9252908152066,-78.1889954604921,-62.0,-57.46582561069064,,-59.26142766740587,-58.385887145996094
-158.5,-60.6173095703125,-58.49592590332031,-60.76297378540039,-60.27082061767578,-59.77114868164063,-64.00422668457031,-65.70331573486328,,-64.00422668457031,-58.83108166666666,-59.77091026306152,-66.1082878112793,-61.2476921081543,-75.75,-77.92498033337678,-78.01786288328466,-61.75,-57.22839037577311,,-59.14271036783855,-58.296848932902016
-158.0,-60.6173095703125,-58.49592590332031,-60.63807678222656,-60.0209846496582,-59.77114868164063,-64.11294555664062,-65.70331573486328,,-64.00422668457031,-58.59364611111111,-59.70797824859619,-66.1082878112793,-61.2476921081543,-75.75,-77.32234779525557,-77.84673030607722,-61.5,-56.990955140855576,,-59.02399359809028,-58.05941369798448
-157.5,-60.6173095703125,-58.49592590332031,-60.27082061767578,-59.77114868164063,-59.77114868164063,-64.00422668457031,-65.70331573486328,,-64.00422668457031,-58.38589,-59.77091026306152,-66.1082878112793,-61.2476921081543,-75.75,-76.79659454493768,-77.67559772886977,-61.5,-56.783199310302734,,-58.890437020195854,-57.85165786743164
